time_offset, x, y, speed
343.000000,502470.700175,458281.284081,5.562772
344.000000,502467.954833,458285.968192,5.322836
345.000000,502465.749544,458290.101491,4.997045
346.000000,502463.606473,458294.743897,5.100897
347.000000,502461.138368,458298.335569,4.592389
348.000000,502458.802751,458302.746537,4.881264
349.000000,502456.255819,458306.322454,4.536332
350.000000,502453.985932,458310.018116,4.277027
351.000000,502452.713059,458313.087613,3.335212
352.000000,502450.973457,458316.751040,3.873803
353.000000,502449.074626,458320.044972,3.777718
354.000000,502446.573461,458323.239194,3.965836
355.000000,502444.185898,458326.905933,4.052699
356.000000,502442.022343,458330.100917,3.997607
357.000000,502439.399225,458333.263617,4.190800
358.000000,502436.399172,458336.972879,4.294890
359.000000,502433.434730,458340.239893,4.255240
360.000000,502431.020125,458343.224998,4.158444
361.000000,502428.154910,458346.884885,4.361158
362.000000,502425.251844,458350.179415,4.377085
363.000000,502422.354306,458353.254628,4.019256
364.000000,502420.016229,458356.144759,3.885816
365.000000,502417.942688,458358.996964,3.365784
366.000000,502415.270020,458361.959438,3.752777
367.000000,502411.629804,458365.107236,4.371529
368.000000,502408.137129,458368.123517,4.782011
369.000000,502404.213450,458371.183101,5.005241
370.000000,502400.218164,458374.199616,4.876336
371.000000,502396.210828,458377.176437,4.907638
372.000000,502392.167941,458380.172401,5.067287
373.000000,502388.002369,458383.764667,5.297274
374.000000,502383.990861,458387.060771,5.298779
375.000000,502379.415634,458390.321236,5.431775
376.000000,502375.067843,458393.952094,5.558547
377.000000,502370.994015,458397.212249,5.496050
378.000000,502366.310561,458401.014893,5.617265
379.000000,502362.011258,458404.875780,5.582631
380.000000,502358.001594,458408.210933,5.456838
381.000000,502353.957174,458411.875893,5.283318
382.000000,502349.426451,458415.249366,5.331957
383.000000,502345.267505,458418.341662,5.132595
384.000000,502341.161793,458421.938886,5.122835
385.000000,502337.823922,458425.066143,4.809725
386.000000,502334.128859,458428.153238,4.860098
387.000000,502330.259483,458431.192675,4.722737
388.000000,502326.880232,458434.017052,4.541769
389.000000,502323.057829,458436.205457,4.520561
390.000000,502318.296767,458436.779840,4.801076
391.000000,502313.776563,458433.887820,5.262908
392.000000,502310.866218,458428.897911,5.396132
393.000000,502309.646598,458422.213333,5.731496
394.000000,502311.152096,458415.520072,6.310225
395.000000,502314.061496,458409.009141,6.833430
396.000000,502316.863311,458402.710864,6.989369
397.000000,502319.974071,458395.874812,7.257318
398.000000,502322.612110,458388.918771,7.446840
399.000000,502325.396324,458381.824040,7.692693
400.000000,502327.693119,458374.027071,8.056906
401.000000,502329.200843,458366.061542,8.097997
402.000000,502329.945730,458357.954158,8.197408
403.000000,502328.615002,458349.933991,8.033754
404.000000,502325.667847,458342.684689,7.937499
405.000000,502321.690410,458336.476445,7.512248
406.000000,502317.661060,458330.654076,6.697755
407.000000,502313.522819,458326.388539,6.025604
408.000000,502309.342656,458321.724552,6.519449
409.000000,502305.105272,458315.316263,7.430401
410.000000,502300.345768,458309.068011,7.236069
411.000000,502294.817895,458304.354677,7.104815
412.000000,502289.425172,458299.603484,7.245280
413.000000,502284.195661,458295.544685,6.729726
414.000000,502278.494497,458291.569051,6.762150
415.000000,502272.493515,458288.337565,6.804871
416.000000,502265.739504,458285.283886,6.969396
417.000000,502259.347210,458282.470511,6.827617
418.000000,502252.530064,458279.612908,6.732822
419.000000,502247.059139,458276.731797,6.009440
420.000000,502241.316781,458273.791562,6.152194
421.000000,502235.481779,458271.405865,5.866287
422.000000,502228.587809,458267.965806,7.326184
423.000000,502222.830912,458263.573548,6.541147
424.000000,502217.728375,458259.472899,6.405906
425.000000,502211.928041,458254.065405,6.967081
426.000000,502206.749334,458248.666568,6.976259
427.000000,502202.333201,458242.882382,6.988204
428.000000,502197.732602,458237.409795,6.872259
429.000000,502193.518861,458231.661884,6.685062
430.000000,502188.995413,458226.969250,6.489666
431.000000,502184.109943,458222.130349,6.551303
432.000000,502179.882478,458217.958234,5.877035
433.000000,502175.215990,458213.841415,6.349825
434.000000,502170.927663,458209.883313,5.934041
435.000000,502166.888795,458205.259838,5.897763
436.000000,502163.620021,458200.353967,5.769464
437.000000,502161.840175,458194.783567,5.677530
438.000000,502161.598911,458190.356166,4.095093
439.000000,502161.854307,458187.068104,3.474652
440.000000,502162.643376,458183.225599,4.153088
441.000000,502163.806905,458179.073204,4.192599
442.000000,502165.086937,458174.982539,4.107795
443.000000,502166.339070,458171.739615,3.490847
444.000000,502167.989107,458168.748298,3.340875
445.000000,502169.821925,458167.276727,2.339595
446.000000,502171.733927,458166.963214,2.048287
447.000000,502173.897124,458165.455327,2.647338
448.000000,502175.730869,458162.845792,3.645525
449.000000,502177.823698,458159.142581,3.961141
450.000000,502179.906453,458155.121105,4.436089
451.000000,502182.274596,458152.362018,3.706405
452.000000,502184.929597,458150.179607,3.627161
453.000000,502187.482988,458146.858143,4.093994
454.000000,502189.425389,458142.509070,4.439757
455.000000,502191.799516,458138.858514,4.367874
456.000000,502193.950130,458135.736654,4.088223
457.000000,502196.590796,458132.663565,4.225830
458.000000,502199.625094,458128.975562,4.485174
459.000000,502202.601805,458125.739771,4.199323
460.000000,502204.951787,458122.792080,3.955704
461.000000,502207.470705,458121.057850,3.728841
462.000000,502210.260641,458119.171039,3.550510
463.000000,502213.141055,458117.892417,3.438837
464.000000,502216.302376,458115.578415,3.592992
465.000000,502219.382112,458113.436042,3.701756
466.000000,502222.300583,458112.018593,3.371124
467.000000,502225.357683,458110.301393,3.552650
468.000000,502228.460864,458108.429477,3.552163
469.000000,502232.585033,458104.593084,4.662151
470.000000,502236.817189,458100.542819,4.947708
471.000000,502240.338540,458096.667363,4.713175
472.000000,502243.647379,458089.428789,5.502608
473.000000,502246.371090,458078.268842,6.336819
474.000000,502247.772027,458065.143760,6.910045
475.000000,502248.285358,458051.523515,7.383691
476.000000,502249.114869,458039.461889,7.393302
477.000000,502250.208114,458028.994083,7.455132
478.000000,502252.223115,458022.601633,5.968722
479.000000,502253.641969,458018.668577,4.915012
480.000000,502255.462065,458013.396376,5.486931
481.000000,502257.348776,458008.172709,5.548904
482.000000,502259.221688,458003.055904,5.508618
483.000000,502261.117437,457998.023530,5.371121
484.000000,502262.486205,457993.107785,5.152887
485.000000,502264.086900,457988.836832,4.791396
486.000000,502265.687717,457982.153850,5.294944
487.000000,502267.632113,457975.148694,5.610043
488.000000,502270.263232,457968.035995,5.925115
489.000000,502272.320180,457959.785820,6.249490
490.000000,502274.340277,457951.675334,6.216612
491.000000,502276.321236,457943.613061,6.325076
492.000000,502278.718782,457936.143689,6.193515
493.000000,502280.893287,457929.019464,6.269428
494.000000,502283.524368,457921.934250,6.198752
495.000000,502286.306095,457914.874668,6.202335
496.000000,502288.859554,457909.869588,5.357624
497.000000,502291.617591,457904.238230,5.581334
498.000000,502293.879782,457898.304891,5.722625
499.000000,502295.284661,457893.075787,5.241399
500.000000,502296.988957,457887.310026,5.519389
501.000000,502298.569802,457883.494869,4.317082
502.000000,502299.954629,457878.296611,5.138323
503.000000,502301.573491,457873.826911,4.628019
504.000000,502303.237205,457870.485741,4.013510
505.000000,502305.597027,457866.718252,4.117416
506.000000,502307.864280,457863.501184,4.060920
507.000000,502310.699534,457858.960572,4.746731
508.000000,502312.679046,457854.085551,4.965941
509.000000,502314.509368,457849.795223,4.518938
510.000000,502315.983370,457844.366574,5.189725
511.000000,502317.002702,457840.616782,4.235914
512.000000,502317.964976,457836.875376,3.999768
513.000000,502318.285191,457834.519968,3.075421
514.000000,502319.619424,457829.642743,3.973926
515.000000,502320.878073,457824.605944,3.831873
516.000000,502322.043666,457819.696513,3.500551
517.000000,502323.136596,457815.491800,3.370143
518.000000,502325.007742,457808.541697,4.724032
519.000000,502326.884682,457803.453218,4.212748
520.000000,502328.816794,457799.256200,3.773289
521.000000,502331.059537,457793.986512,3.958057
522.000000,502333.339985,457788.961750,4.123983
523.000000,502335.654126,457783.407641,4.154885
524.000000,502337.653248,457778.903681,3.947799
525.000000,502339.665264,457774.137516,3.849489
526.000000,502341.688717,457769.231110,3.907058
527.000000,502344.175929,457764.829367,3.729525
