time_offset,timestamp,revs,distance
297.8499,1678385983.8499,1326,2744.8200
297.9713,1678385983.9713,1327,2746.8900
298.0928,1678385984.0928,1328,2748.9600
298.1190,1678385984.1190,1329,2751.0300
298.2380,1678385984.2380,1330,2753.1000
298.3571,1678385984.3571,1331,2755.1700
298.4761,1678385984.4761,1332,2757.2400
298.5951,1678385984.5951,1333,2759.3100
298.7141,1678385984.7141,1334,2761.3800
298.8331,1678385984.8331,1335,2763.4500
298.9522,1678385984.9522,1336,2765.5200
299.0712,1678385985.0712,1337,2767.5900
299.1207,1678385985.1207,1338,2769.6600
299.2414,1678385985.2414,1339,2771.7300
299.3621,1678385985.3621,1340,2773.8000
299.4828,1678385985.4828,1341,2775.8700
299.6035,1678385985.6035,1342,2777.9400
299.7242,1678385985.7242,1343,2780.0100
299.8449,1678385985.8449,1344,2782.0800
299.9656,1678385985.9656,1345,2784.1500
300.0863,1678385986.0863,1346,2786.2200
300.1183,1678385986.1183,1347,2788.2900
300.2366,1678385986.2366,1348,2790.3600
300.3549,1678385986.3549,1349,2792.4300
300.4732,1678385986.4732,1350,2794.5000
300.5915,1678385986.5915,1351,2796.5700
300.7098,1678385986.7098,1352,2798.6400
300.8281,1678385986.8281,1353,2800.7100
300.9464,1678385986.9464,1354,2802.7800
301.0647,1678385987.0647,1355,2804.8500
301.1234,1678385987.1234,1356,2806.9200
301.2469,1678385987.2469,1357,2808.9900
301.3703,1678385987.3703,1358,2811.0600
301.4937,1678385987.4937,1359,2813.1300
301.6172,1678385987.6172,1360,2815.2000
301.7406,1678385987.7406,1361,2817.2700
301.8640,1678385987.8640,1362,2819.3400
301.9875,1678385987.9875,1363,2821.4100
302.1109,1678385988.1109,1364,2823.4800
302.1223,1678385988.1223,1365,2825.5500
302.2445,1678385988.2445,1366,2827.6200
302.3668,1678385988.3668,1367,2829.6900
302.4891,1678385988.4891,1368,2831.7600
302.6114,1678385988.6114,1369,2833.8300
302.7336,1678385988.7336,1370,2835.9000
302.8559,1678385988.8559,1371,2837.9700
302.9782,1678385988.9782,1372,2840.0400
303.1005,1678385989.1005,1373,2842.1100
303.1242,1678385989.1242,1374,2844.1800
303.2485,1678385989.2485,1375,2846.2500
303.3727,1678385989.3727,1376,2848.3200
303.4969,1678385989.4969,1377,2850.3900
303.6212,1678385989.6212,1378,2852.4600
303.7454,1678385989.7454,1379,2854.5300
303.8696,1678385989.8696,1380,2856.6000
303.9939,1678385989.9939,1381,2858.6700
304.1181,1678385990.1181,1382,2860.7400
304.1086,1678385990.1086,1383,2862.8100
304.2172,1678385990.2172,1384,2864.8800
304.3258,1678385990.3258,1385,2866.9500
304.4344,1678385990.4344,1386,2869.0200
304.5429,1678385990.5429,1387,2871.0900
304.6515,1678385990.6515,1388,2873.1600
304.7601,1678385990.7601,1389,2875.2300
304.8687,1678385990.8687,1390,2877.3000
304.9773,1678385990.9773,1391,2879.3700
305.0859,1678385991.0859,1392,2881.4400
305.1238,1678385991.1238,1393,2883.5100
305.2475,1678385991.2475,1394,2885.5800
305.3713,1678385991.3713,1395,2887.6500
305.4950,1678385991.4950,1396,2889.7200
305.6188,1678385991.6188,1397,2891.7900
305.7426,1678385991.7426,1398,2893.8600
305.8663,1678385991.8663,1399,2895.9300
305.9901,1678385991.9901,1400,2898.0000
306.1139,1678385992.1139,1401,2900.0700
306.1105,1678385992.1105,1402,2902.1400
306.2211,1678385992.2211,1403,2904.2100
306.3316,1678385992.3316,1404,2906.2800
306.4421,1678385992.4421,1405,2908.3500
306.5527,1678385992.5527,1406,2910.4200
306.6632,1678385992.6632,1407,2912.4900
306.7738,1678385992.7738,1408,2914.5600
306.8843,1678385992.8843,1409,2916.6300
306.9948,1678385992.9948,1410,2918.7000
307.1054,1678385993.1054,1411,2920.7700
307.1140,1678385993.1140,1412,2922.8400
